src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
34.98.74.57,169.231.122.195,443,60373,17,2022-12-05 12:22:21,444357.0,24102.24211613635,58.51151214001355,27.005313295390867,31.50619884462268,12,14,5927,4783,1242,67,493.9166666666667,454.5988081692349,1294,73,341.64285714285717,480.0819285947611,1294,67,411.9230769230769,474.6029857500269,225247.99408284022,96,112,8,12,-150693.08,163701.0,-444357.0,216018.69867026235,440305.0,163701.0,1.0,40027.72727272727,51008.55061313635,418615.0,359537.0,1.0,32201.153846153848,94814.06370433753,0,0,0,0,0,0,0,0,0,0,0,1.1666666666666667,411.9230769230769,0,0,0,0,0,0,58642.0,6608.0,24994.0,20563.022568262117,0,0,0,0,0,0,493.9166666666667,341.64285714285717,0,12,14,5927,4783
35.186.224.25,169.231.122.195,443,63621,17,2022-12-05 12:22:21,59892535.0,778.1604168198925,2.805024031792944,1.1353668700114297,1.6696571617815141,68,100,22043,24563,1242,67,324.1617647058824,407.28616223710196,1294,73,245.63,351.43120678164024,1294,67,277.4166666666667,377.01832115180684,142142.81448412695,544,800,8,68,-27138913.083832335,43592017.0,-59892535.0,28931971.705800626,59888728.0,43592017.0,1.0,893861.6119402985,5325967.185210618,59864350.0,43592209.0,1.0,604690.404040404,4401765.005145781,0,0,0,0,0,0,0,0,0,0,0,1.4705882352941178,277.4166666666667,0,0,43558208.0,13667.0,3121411.882352941,10167552.626331389,43474360.0,8302.0,2241784.8076923075,8349242.555651303,0,0,0,0,0,0,324.1617647058824,245.63,0,68,100,22043,24563
35.186.224.47,169.231.122.195,443,64270,6,2022-12-05 12:22:21,61700737.0,173.8066759234983,0.599668687912107,0.3079379748737847,0.2917307130383224,19,18,8599,2125,1440,66,452.57894736842104,506.9110080508239,819,54,118.05555555555556,171.44628968546849,1440,54,289.8378378378378,417.3817692125528,174207.5412710007,380,360,20,11,-21418347.583333332,30784530.0,-61700737.0,30620468.4923438,61698346.0,30784530.0,2.0,3427685.888888889,9553193.264129313,61698794.0,30784619.0,3.0,3629340.8235294116,9792899.493112616,9,6,0,0,0,2,0,15,36,0,0,0.9473684210526315,289.8378378378378,65535,2048,30738366.0,8590.0,15213442.75,15187768.561770115,30597759.0,9556.0,5547402.454545454,11669134.984137064,0,0,0,0,0,0,452.57894736842104,118.05555555555556,0,19,18,8599,2125
142.250.189.10,169.231.122.195,443,54074,17,2022-12-05 12:22:21,50.0,49680000.0,40000.0,40000.0,0.0,2,0,2484,0,1242,1242,1242.0,0.0,0,0,0,0.0,1242,1242,1242.0,0.0,0.0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242.0,0,0,2,0,2484,0
142.250.189.10,169.231.122.195,443,57927,6,2022-12-05 12:22:21,166221.0,55853.35186288134,162.43434945043043,90.24130525023914,72.19304420019131,15,12,7090,2194,1440,66,472.6666666666667,519.8798151709896,730,66,182.83333333333334,215.1006870178604,1440,66,343.85185185185185,437.5591984248535,191458.05212620032,300,240,20,11,-33307.346153846156,73829.0,-163873.0,69377.68264803132,154379.0,73829.0,2.0,11027.07142857143,19319.347716969733,166221.0,125669.0,2.0,15111.0,35164.83255392317,8,6,0,0,2,1,0,14,26,0,0,0.8,343.85185185185185,261,2048,13559.0,3268.0,8413.5,5145.5,57256.0,7306.0,28040.0,21255.72656956238,2708.0,4.0,0,0,32824242.42424242424242424242,0,472.6666666666667,182.83333333333334,0,15,12,7090,2194
104.154.127.126,169.231.122.195,443,64271,6,2022-12-05 12:22:21,49582059.0,253.17625474165968,0.6453947384476308,0.36303454037679234,0.28236019807083845,18,14,10181,2372,1294,66,565.6111111111111,547.3968841393164,759,54,169.42857142857142,213.3195839531832,1294,54,392.28125,476.5343137156416,227084.9521484375,360,280,20,11,-15934654.41935484,48243558.0,-49582059.0,26162365.051871356,49533316.0,48243558.0,1.0,2913724.470588235,11333400.186882254,49533192.0,48243566.0,172.0,3810245.5384615385,12827527.849965934,8,3,0,0,0,2,0,11,31,0,0,0.7777777777777778,392.28125,65084,2048,0,0,0,0,47737595.0,36917.0,8058633.0,17745469.319444094,7368.0,6.0,0,0,71533980.58252427184466019417,0,565.6111111111111,169.42857142857142,0,18,14,10181,2372
185.151.204.7,169.231.122.195,443,57928,6,2022-12-05 12:22:22,1071093.0,6778.122908094815,17.73888915341618,8.402631704249771,9.336257449166412,9,10,4961,2299,1440,66,551.2222222222222,523.7583789364833,1176,54,229.9,350.9650837334108,1440,54,382.10526315789474,469.5877133173471,220512.62049861494,180,200,20,7,-191034.88888888888,252140.0,-1060799.0,402350.0067205015,909994.0,252139.99999999997,1.0,113749.25,114643.11830388033,1071093.0,304163.0,3.0,119010.33333333333,113390.29910299499,6,3,0,0,2,2,2,9,16,0,0,1.1111111111111112,382.10526315789474,43440,0,0,0,0,0,195562.0,10557.0,87565.66666666667,78642.18172767645,0,0,0,0,0,0,551.2222222222222,229.9,0,9,10,4961,2299
17.57.144.25,169.231.122.195,5223,57882,6,2022-12-05 12:22:23,16809776.000000004,184.53547507117284,1.2492730420679012,0.5948919247942387,0.6543811172736625,10,11,2274,828,1440,66,227.4,406.13795685702655,106,54,75.27272727272727,19.968570345743146,1440,54,147.71428571428572,290.73718173556233,84528.10884353741,200,220,20,6,-4001315.0,5205871.0,-16809776.0,7205764.046964471,16798114.0,5205871.0,1.0,1866457.111111111,2298797.563480595,16798591.0,5176903.0,16094.0,1679859.1,2131217.439751207,5,4,0,0,0,0,0,9,21,0,0,1.1,147.71428571428572,501,2048,4948360.0,4589023.0,4768691.5,179668.5,5205871.0,4507024.0,4833741.333333333,287104.50172522356,0,0,0,0,0,0,227.4,75.27272727272727,0,10,11,2274,828
49.51.15.48,169.231.122.194,80,65243,6,2022-12-05 12:22:28,652844.0000000001,2803.1198877526635,16.849354516546065,7.658797507520938,9.190557009025126,5,6,626,1204,398,54,125.2,136.4791559176712,910,54,200.66666666666666,317.3445376173278,910,54,166.36363636363637,254.57817971455617,64810.049586776855,100,120,20,1,-127267.3,225276.0,-652844.0,293669.47789446893,578725.0,225276.0,10494.0,144681.25,80544.40552072813,577567.0,407890.0,54.0,115513.4,159560.7301557623,1,1,0,0,2,2,0,2,10,0,0,1.2,166.36363636363637,29200,4096,0,0,0,0,169049.0,56227.0,129562.66666666667,51907.18605571123,0,0,0,0,0,0,125.2,200.66666666666666,0,5,6,626,1204
17.57.144.122,169.231.122.194,5223,55189,6,2022-12-05 12:22:28,38066450.0,198.2323016724701,1.024524220146612,0.4728573323753594,0.5516668877712526,18,21,1416,6130,160,66,78.66666666666667,23.103631268217942,1440,54,291.9047619047619,473.70574599306696,1440,54,193.48717948717947,363.8350479864835,132375.94214332677,360,420,20,6,-10906353.289473685,24513080.0,-38066450.0,17010831.638250187,38064042.0,24513080.0,55.0,2239061.294117647,5757195.632077671,38064094.0,24513176.0,48.0,1903204.7,5367551.601591755,6,8,0,0,0,0,0,14,39,0,0,1.1666666666666667,193.48717948717947,501,2048,24389350.0,1328358.0,9919551.0,10291447.723990472,23994440.0,40355.0,4948844.428571428,7975631.960133511,0,0,0,0,0,0,78.66666666666667,291.9047619047619,0,18,21,1416,6130
