flow_a,flow_b,ip_a,ip_b,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,pkt_len_mean,pkt_len_std,pkt_len_max,pkt_len_min,flow_iat_mean,flow_iat_std,fwd_iat_mean,bwd_iat_mean,down_up_ratio,fwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_mean,bwd_pkt_len_max,syn_flag_cnt,ack_flag_cnt,fin_flag_cnt,rst_flag_cnt,psh_flag_cnt,urg_flag_cnt,init_fwd_win_byts,init_bwd_win_byts,ip_version,ip_ttl_mean,ip_ttl_std,ip_len_mean,ip_len_std,ip_flag_df_rate,ip_flag_mf_rate,tcp_win_size_mean,tcp_win_size_std,tcp_seq_mean_delta,tcp_ack_mean_delta,label
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-185218,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-739323,169.231.48.158,169.231.147.7,0.0,0.500759,7.0,2.0,15115.081311,222.561651,226.08971,150.090909,375.027061,1347.0,6.0,0.05228,0.070782,0.066453,0.0,0.222222,148.333333,1347.0,239.0,266.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,515.0,0.0,50.4,6.8,391.833333,443.590407,0.0,0.0,1815.766667,3319.660676,629402857.880953,517864875.944444,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-200739,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-739929,169.231.48.158,169.231.169.176,0.0,2.444461,71.0,1.0,19218.622862,10.400591,0.533598,465.810811,503.32096,1347.0,146.0,0.001091,0.095115,0.0158,0.0,0.333333,167.810811,173.0,1440.0,1440.0,2.0,68.0,0.0,0.0,33.0,0.0,65020.0,2051.0,0.0,59.0,7.071068,379.497717,215.721699,0.0,0.0,1883.273973,6656.349639,2465079944.166667,2421735895.291667,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-200739,s2-2022-04-29-1215-ens4f1-2022-04-29-1215-549033,169.231.48.158,169.231.45.147,0.0,0.096273,15.0,1.0,14520.907311,51.615465,61.482458,468.833333,500.690442,1347.0,152.0,0.022158,0.013372,0.039049,0.0,0.333333,170.833333,173.0,1440.0,1440.0,2.0,14.0,0.0,0.0,6.0,0.0,65020.0,2051.0,0.0,63.0,7.071068,17.980392,82.116896,0.0,0.0,2888.235294,14680.863832,2465079072.1875,2465082173.0625,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-524728,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-718262,169.231.48.158,169.231.63.164,0.0,10.131664,8.0,1.0,20232.890986,36.128768,26.828,471.545455,503.969994,1347.0,152.0,0.988079,2.947431,0.970159,0.0,0.333333,173.545455,173.0,1440.0,1440.0,2.0,4.0,0.0,1.0,0.0,0.0,65020.0,2051.0,0.0,59.0,7.071068,412.933333,237.077091,0.0,0.0,7161.8,18401.039235,83970004.111111,208309559.666667,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-524728,s2-2022-04-29-1215-ens4f3-2022-04-29-1215-547645,169.231.48.158,169.231.97.209,0.0,30.583198,25.0,1.0,20249.438464,36.290745,26.989977,476.464286,507.836657,1347.0,152.0,1.100854,2.271647,1.082934,0.0,0.333333,178.464286,173.0,1440.0,1440.0,2.0,22.0,13.0,1.0,0.0,0.0,65020.0,2051.0,0.0,59.0,7.071068,512.296296,360.040306,0.0,0.0,3369.444444,11266.184629,83970120.538462,70111258.846154,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-735758,s2-2022-04-29-1215-ens4f3-2022-04-29-1215-446405,169.231.48.158,169.231.162.106,0.0,91.332646,96.0,1.0,20238.572808,36.117284,26.817294,478.939394,511.517119,1347.0,152.0,0.897221,6.399643,0.8793,0.0,0.333333,180.939394,173.0,1440.0,1440.0,2.0,93.0,0.0,0.0,0.0,0.0,65020.0,2051.0,0.0,59.0,7.071068,557.027211,457.334771,0.020408,0.0,3648.55102,5455.684477,2573761156.505155,2572296637.298969,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-735758,s2-2022-04-29-1215-ens4f1-2022-04-29-1215-112303,169.231.48.158,169.231.74.35,11.0,0.107527,1.0,1.0,20311.177658,37.199959,27.899969,453.0,516.621718,1347.0,119.0,0.035842,0.034223,0.053763,0.0,0.333333,155.0,173.0,1440.0,1440.0,0.0,4.0,0.0,0.0,3.0,0.0,515.0,2051.0,0.0,59.0,7.071068,493.333333,566.585877,1.0,0.0,1027.0,724.077344,2573761173.0,2573763268.0,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-18546,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-218620,169.231.14.243,169.231.7.206,0.0,35.396289,15.0,2.0,35235.279303,66.140553,39.481351,460.533333,449.771323,1347.0,120.0,2.067793,5.597162,2.064791,0.0,0.666667,224.0,256.0,884.0,1440.0,2.0,11.0,1.0,0.0,2.0,0.0,65021.0,110.0,0.0,116.5,52.5,476.897059,381.463061,0.294118,0.0,5466.588235,14737.110112,1718157267.375,1624617717.083333,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-18546,s2-2022-04-29-1215-ens4f2-2022-04-29-1215-293198,169.231.14.243,169.231.168.149,11.0,30.396906,7.0,0.0,142.121533,1.66029,1.66029,12.969697,2.482975,0.0,7.0,1.579108,4.134408,1.579108,0.0,0.0,12.969697,0.0,0.0,0.0,2.0,16.0,1.0,0.0,2.0,0.0,65535.0,0.0,0.0,2.0,0.0,243.247059,268.028002,0.294118,0.0,5778.588235,14939.110112,36.625,93541234.25,0
s3-2022-04-29-1215-ens4f2-2022-04-29-1215-15081,s2-2022-04-29-1215-ens4f2-2022-04-29-1215-81912,169.231.14.243,169.231.38.35,0.0,35.260446,8.0,0.0,3744.196814,50.104698,50.104698,2.5,1.89406,0.0,6.0,2.33864,5.999602,2.33864,0.0,0.0,2.5,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,173.0,0.0,265.633333,415.832684,1.0,0.0,401.333333,3781.580405,602.087301,284451605.071429,0
